Frequency (Hz)	Bat_Species
59873.90798009822	Little Brown Bat (Myotis lucifugus)
40349.96031300326	Little Brown Bat (Myotis lucifugus)
98369.39260185121	Little Brown Bat (Myotis lucifugus)
100960.16231988944	Little Brown Bat (Myotis lucifugus)
52226.51333890512	Little Brown Bat (Myotis lucifugus)
37164.16440437765	Little Brown Bat (Myotis lucifugus)
29933.735182459885	Little Brown Bat (Myotis lucifugus)
68947.97597742561	Little Brown Bat (Myotis lucifugus)
61120.60705718484	Little Brown Bat (Myotis lucifugus)
79210.09104546037	Little Brown Bat (Myotis lucifugus)
36917.927274392605	Little Brown Bat (Myotis lucifugus)
68738.41182334424	Little Brown Bat (Myotis lucifugus)
26865.96677658282	Little Brown Bat (Myotis lucifugus)
57205.88787675855	Little Brown Bat (Myotis lucifugus)
77659.96982666073	Little Brown Bat (Myotis lucifugus)
26056.861646398815	Little Brown Bat (Myotis lucifugus)
32762.4758870227	Little Brown Bat (Myotis lucifugus)
99302.70870367502	Little Brown Bat (Myotis lucifugus)
36808.957608059165	Little Brown Bat (Myotis lucifugus)
80586.19376490479	Little Brown Bat (Myotis lucifugus)
56079.03694560835	Little Brown Bat (Myotis lucifugus)
72388.49968919538	Little Brown Bat (Myotis lucifugus)
40127.527631961726	Little Brown Bat (Myotis lucifugus)
61101.92533880661	Little Brown Bat (Myotis lucifugus)
83873.09001187823	Little Brown Bat (Myotis lucifugus)
77699.87844844465	Little Brown Bat (Myotis lucifugus)
103406.4019649169	Little Brown Bat (Myotis lucifugus)
103623.37654633267	Little Brown Bat (Myotis lucifugus)
21570.964136421124	Little Brown Bat (Myotis lucifugus)
55859.8754544752	Little Brown Bat (Myotis lucifugus)
80671.37170668563	Little Brown Bat (Myotis lucifugus)
47228.51796438895	Little Brown Bat (Myotis lucifugus)
31811.17448615815	Little Brown Bat (Myotis lucifugus)
36817.93693988593	Little Brown Bat (Myotis lucifugus)
46318.278369886175	Little Brown Bat (Myotis lucifugus)
29620.13981505044	Little Brown Bat (Myotis lucifugus)
45524.3482413285	Little Brown Bat (Myotis lucifugus)
100875.70304622446	Little Brown Bat (Myotis lucifugus)
61801.46892318344	Little Brown Bat (Myotis lucifugus)
38898.044511305525	Little Brown Bat (Myotis lucifugus)
107858.81230412758	Little Brown Bat (Myotis lucifugus)
42988.86630476148	Little Brown Bat (Myotis lucifugus)
88568.07055970616	Little Brown Bat (Myotis lucifugus)
99453.2646553302	Little Brown Bat (Myotis lucifugus)
21100.167559897807	Little Brown Bat (Myotis lucifugus)
76111.7126022225	Little Brown Bat (Myotis lucifugus)
91432.30907899726	Little Brown Bat (Myotis lucifugus)
40957.65025636506	Little Brown Bat (Myotis lucifugus)
77334.99701596763	Little Brown Bat (Myotis lucifugus)
98775.77832698142	Little Brown Bat (Myotis lucifugus)
66101.60978353523	Little Brown Bat (Myotis lucifugus)
50856.010306867705	Little Brown Bat (Myotis lucifugus)
42327.83922444486	Little Brown Bat (Myotis lucifugus)
85186.67511390071	Little Brown Bat (Myotis lucifugus)
44337.30479767414	Little Brown Bat (Myotis lucifugus)
58277.05425520625	Little Brown Bat (Myotis lucifugus)
29674.150949612827	Little Brown Bat (Myotis lucifugus)
23374.87555435623	Little Brown Bat (Myotis lucifugus)
97323.20170442596	Little Brown Bat (Myotis lucifugus)
78876.70903280433	Little Brown Bat (Myotis lucifugus)
67807.671078708	Little Brown Bat (Myotis lucifugus)
25894.815490248304	Little Brown Bat (Myotis lucifugus)
74976.28649119298	Little Brown Bat (Myotis lucifugus)
73505.9559874264	Little Brown Bat (Myotis lucifugus)
42381.08852195619	Little Brown Bat (Myotis lucifugus)
24071.22527684388	Little Brown Bat (Myotis lucifugus)
91710.18391092749	Little Brown Bat (Myotis lucifugus)
60917.36605496913	Little Brown Bat (Myotis lucifugus)
26726.309977076195	Little Brown Bat (Myotis lucifugus)
62051.76895456766	Little Brown Bat (Myotis lucifugus)
37786.13517542086	Little Brown Bat (Myotis lucifugus)
38928.23049922953	Little Brown Bat (Myotis lucifugus)
32151.2798327998	Little Brown Bat (Myotis lucifugus)
43596.18731038062	Little Brown Bat (Myotis lucifugus)
24561.47892436522	Little Brown Bat (Myotis lucifugus)
47872.501751539545	Little Brown Bat (Myotis lucifugus)
62449.79501358873	Little Brown Bat (Myotis lucifugus)
50058.060901115125	Little Brown Bat (Myotis lucifugus)
93025.47640568066	Little Brown Bat (Myotis lucifugus)
103023.54095334819	Little Brown Bat (Myotis lucifugus)
98586.29250786666	Little Brown Bat (Myotis lucifugus)
43275.365074682806	Little Brown Bat (Myotis lucifugus)
37805.03574039831	Little Brown Bat (Myotis lucifugus)
58844.04250499698	Little Brown Bat (Myotis lucifugus)
91856.74276016818	Little Brown Bat (Myotis lucifugus)
35616.63021634343	Little Brown Bat (Myotis lucifugus)
86767.60089467191	Little Brown Bat (Myotis lucifugus)
77895.08619065315	Little Brown Bat (Myotis lucifugus)
71687.76365069582	Little Brown Bat (Myotis lucifugus)
58020.52680140452	Little Brown Bat (Myotis lucifugus)
28280.97879301374	Little Brown Bat (Myotis lucifugus)
34980.53458089945	Little Brown Bat (Myotis lucifugus)
82007.74792082657	Little Brown Bat (Myotis lucifugus)
31684.850401897747	Little Brown Bat (Myotis lucifugus)
98870.70390313328	Little Brown Bat (Myotis lucifugus)
67371.58699468561	Little Brown Bat (Myotis lucifugus)
83307.37437637705	Little Brown Bat (Myotis lucifugus)
83868.9716499299	Little Brown Bat (Myotis lucifugus)
42862.36809896337	Little Brown Bat (Myotis lucifugus)
59505.17881660251	Little Brown Bat (Myotis lucifugus)
64010.12399839297	Little Brown Bat (Myotis lucifugus)
70643.59467517292	Little Brown Bat (Myotis lucifugus)
75720.65304302773	Little Brown Bat (Myotis lucifugus)
71673.52891521702	Little Brown Bat (Myotis lucifugus)
41481.563344088005	Little Brown Bat (Myotis lucifugus)
44589.73473508186	Little Brown Bat (Myotis lucifugus)
45423.03302110717	Little Brown Bat (Myotis lucifugus)
32641.479904889737	Little Brown Bat (Myotis lucifugus)
24464.995621120215	Little Brown Bat (Myotis lucifugus)
53865.51870074069	Little Brown Bat (Myotis lucifugus)
22157.861838131084	Little Brown Bat (Myotis lucifugus)
91638.07750500098	Little Brown Bat (Myotis lucifugus)
50807.057625405985	Little Brown Bat (Myotis lucifugus)
53087.31950135088	Little Brown Bat (Myotis lucifugus)
56286.247675715895	Little Brown Bat (Myotis lucifugus)
79517.66858363815	Little Brown Bat (Myotis lucifugus)
59968.542794148794	Little Brown Bat (Myotis lucifugus)
106713.1662311144	Little Brown Bat (Myotis lucifugus)
38227.21092258181	Little Brown Bat (Myotis lucifugus)
36999.962010362826	Little Brown Bat (Myotis lucifugus)
46630.7168489942	Little Brown Bat (Myotis lucifugus)
51400.46834118736	Little Brown Bat (Myotis lucifugus)
99828.35239557642	Little Brown Bat (Myotis lucifugus)
86575.46890757231	Little Brown Bat (Myotis lucifugus)
71414.33971058068	Little Brown Bat (Myotis lucifugus)
56432.931130788646	Big Brown Bat (Eptesicus fuscus)
50217.43632609815	Big Brown Bat (Eptesicus fuscus)
36200.36239731162	Big Brown Bat (Eptesicus fuscus)
21552.707112200937	Big Brown Bat (Eptesicus fuscus)
34050.2471829984	Big Brown Bat (Eptesicus fuscus)
54602.670809102456	Big Brown Bat (Eptesicus fuscus)
40624.88886541051	Big Brown Bat (Eptesicus fuscus)
48723.60822420359	Big Brown Bat (Eptesicus fuscus)
